id,name,category,country,state,district,normalizedName,startingLetter,endingLetter
subdistrict-2375,Anandpur,subdistrict,India,,,anandpur,A,R
subdistrict-2376,Pakur,subdistrict,India,,,pakur,P,R
subdistrict-2377,Ratu,subdistrict,India,,,ratu,R,U
subdistrict-2378,Panki,subdistrict,India,,,panki,P,I
subdistrict-2379,Sisai,subdistrict,India,,,sisai,S,I
subdistrict-2380,Chaibasa,subdistrict,India,,,chaibasa,C,A
subdistrict-2381,Chandil,subdistrict,India,,,chandil,C,L
subdistrict-2382,Chanho,subdistrict,India,,,chanho,C,O
subdistrict-2383,Mandar,subdistrict,India,,,mandar,M,R
subdistrict-2384,Ormanjhi,subdistrict,India,,,ormanjhi,O,I
subdistrict-2385,Chandrapura,subdistrict,India,,,chandrapura,C,A
subdistrict-2386,Ghatshila,subdistrict,India,,,ghatshila,G,A
subdistrict-2387,Bundu,subdistrict,India,,,bundu,B,U
subdistrict-2388,Raidih,subdistrict,India,,,raidih,R,H
subdistrict-2389,Saraiyahat,subdistrict,India,,,saraiyahat,S,T
subdistrict-2390,Musabani,subdistrict,India,,,musabani,M,I
subdistrict-2391,Padma,subdistrict,India,,,padma,P,A
subdistrict-2392,Gopikander,subdistrict,India,,,gopikander,G,R
subdistrict-2393,Senha,subdistrict,India,,,senha,S,A
subdistrict-2394,Gandey,subdistrict,India,,,gandey,G,Y
subdistrict-2395,Meharma,subdistrict,India,,,meharma,M,A
subdistrict-2396,Pathalgada,subdistrict,India,,,pathalgada,P,A
subdistrict-2397,Pirtand,subdistrict,India,,,pirtand,P,D
subdistrict-2398,Dhalbhumgarh,subdistrict,India,,,dhalbhumgarh,D,H
subdistrict-2399,Pathargama,subdistrict,India,,,pathargama,P,A
subdistrict-2400,Giddhor,subdistrict,India,,,giddhor,G,R
subdistrict-2401,Basantray,subdistrict,India,,,basantray,B,Y
subdistrict-2402,Mahagama,subdistrict,India,,,mahagama,M,A
subdistrict-2403,Ramna,subdistrict,India,,,ramna,R,A
subdistrict-2404,Chalkusha,subdistrict,India,,,chalkusha,C,A
subdistrict-2405,Tantnagar,subdistrict,India,,,tantnagar,T,R
subdistrict-2407,Udhwa,subdistrict,India,,,udhwa,U,A
subdistrict-2408,Potka,subdistrict,India,,,potka,P,A
subdistrict-2409,Sundarpahari,subdistrict,India,,,sundarpahari,S,I
subdistrict-2410,Poraiyahat,subdistrict,India,,,poraiyahat,P,T
subdistrict-2412,Daru,subdistrict,India,,,daru,D,U
subdistrict-2413,Sonua,subdistrict,India,,,sonua,S,A
subdistrict-2414,Bahragora,subdistrict,India,,,bahragora,B,A
subdistrict-2415,Chakulia,subdistrict,India,,,chakulia,C,A
subdistrict-2416,Albert Ekka,subdistrict,India,,,albertekka,A,A
subdistrict-2417,Kurdeg,subdistrict,India,,,kurdeg,K,G
subdistrict-2418,Nawa Bazar,subdistrict,India,,,nawabazar,N,R
subdistrict-2419,Khelari,subdistrict,India,,,khelari,K,I
subdistrict-2420,Kandi,subdistrict,India,,,kandi,K,I
subdistrict-2421,Haidernagar,subdistrict,India,,,haidernagar,H,R
subdistrict-2422,Untari Road,subdistrict,India,,,untariroad,U,D
subdistrict-2423,Mohamadganj,subdistrict,India,,,mohamadganj,M,J
subdistrict-2424,Chhatarpur,subdistrict,India,,,chhatarpur,C,R
subdistrict-2426,Hussainabad,subdistrict,India,,,hussainabad,H,D
subdistrict-2427,Manatu,subdistrict,India,,,manatu,M,U
subdistrict-2429,Rajmahal,subdistrict,India,,,rajmahal,R,L
subdistrict-2430,Hariharganj,subdistrict,India,,,hariharganj,H,J
subdistrict-2431,Hiranpur,subdistrict,India,,,hiranpur,H,R
subdistrict-2432,Barharwa,subdistrict,India,,,barharwa,B,A
subdistrict-2433,Shaligram Ram Narayanpur Alias Hunterganj,subdistrict,India,,,shaligramramnarayanpuraliashunterganj,S,J
subdistrict-2434,Chandwara,subdistrict,India,,,chandwara,C,A
subdistrict-2435,Koderma,subdistrict,India,,,koderma,K,A
subdistrict-2436,Kundhit,subdistrict,India,,,kundhit,K,T
subdistrict-2437,Patamda,subdistrict,India,,,patamda,P,A
subdistrict-2438,Gawan,subdistrict,India,,,gawan,G,N
subdistrict-2439,Dhanwar,subdistrict,India,,,dhanwar,D,R
subdistrict-2440,Ichagarh,subdistrict,India,,,ichagarh,I,H
subdistrict-2441,Kukru,subdistrict,India,,,kukru,K,U
subdistrict-2442,Silli,subdistrict,India,,,silli,S,I
subdistrict-2443,Sonahatu,subdistrict,India,,,sonahatu,S,U
subdistrict-2445,Kasmar,subdistrict,India,,,kasmar,K,R
subdistrict-2446,Chas,subdistrict,India,,,chas,C,S
subdistrict-2447,Chandankiyari,subdistrict,India,,,chandankiyari,C,I
subdistrict-2448,Dhanbad,subdistrict,India,,,dhanbad,D,D
subdistrict-2449,Nirsa,subdistrict,India,,,nirsa,N,A
subdistrict-2451,Jamtara,subdistrict,India,,,jamtara,J,A
subdistrict-2452,Nala,subdistrict,India,,,nala,N,A
subdistrict-2453,Gola,subdistrict,India,,,gola,G,A
subdistrict-2454,Peterwar,subdistrict,India,,,peterwar,P,R
subdistrict-2455,Bishnugarh,subdistrict,India,,,bishnugarh,B,H
subdistrict-2456,Jamua,subdistrict,India,,,jamua,J,A
subdistrict-2457,Ankola,subdistrict,India,,,ankola,A,A
subdistrict-2458,Karwar,subdistrict,India,,,karwar,K,R
subdistrict-2459,Kumta,subdistrict,India,,,kumta,K,A
subdistrict-2460,Honavar,subdistrict,India,,,honavar,H,R
subdistrict-2461,Bhatkal,subdistrict,India,,,bhatkal,B,L
subdistrict-2462,Haliyal,subdistrict,India,,,haliyal,H,L
